date,ticker,action,price,operation,note
2026-02-02,MP,ADD,60.60,UPDATE_ACTION_FROM_CLOSE,"'Dropping RXRX and ADDING other half of MP' — parser saw 'Dropping' verb and tagged both as CLOSE. MP was actually ADD."
2026-03-02,AXTI,OPEN,44.75,UPDATE_ACTION_FROM_TRIM,"3/2 message: 'adding AXTI @ 44.75 to commons port and selling half of BBAI' — AXTI is the ADD, parser merged with BBAI verb."
2026-03-10,AMPX,TRIM,18.28,UPDATE_PRICE_FROM_15,"AMPX +77% sell-half had STOP $15 captured instead of actual trim. $10.33 × 1.77 = $18.28."
2026-04-24,INTC,TRIM,83.88,INSERT_NEW,"INTC up 150% — trim half. No price in source; computed $33.55 × 2.5. Position half-open after this."
2026-04-27,INFQ,ADD,13.00,UPDATE_ACTION_FROM_OPEN,"INFQ already in commons (9/17 recap @ $13). 4/27 message is ADD confirmation, not fresh OPEN."
2026-05-14,LITE,OPEN,1000,INSERT_NEW,"LITE 'added to commons' on 5/14 with no price. Context 'if we dip below 1K' suggests entry ~$1000."
2026-05-21,AMPX,ADD,15.44,INSERT_NEW,"AMPX stopped at $15, then 'Adding back here @ $15.44 (half sized)'. Re-add missed by parser."
2025-09-17,INTC,TRIM,82.55,UPDATE_ACTION_FROM_CLOSE,"Recap '$INTC closing 1/2 @ $82.55 +150%' = TRIM half, not full CLOSE. Half remains open."
2025-09-17,NVTS,TRIM,20.87,UPDATE_ACTION_FROM_CLOSE,"Recap '$NVTS closing 1/2 @ 20.87 for just over 100%' = TRIM half, not CLOSE. Half remains open."
2025-09-17,BBAI,TRIM,4.07,UPDATE_ACTION_FROM_CLOSE,"Recap '$BBAI 5.11 (2x weighting) (1/2 position closed @ 4.07, back to equal weight)' = TRIM half. The 2x weighting halved back to 1x; half remains open at $5.11 cost basis."
2025-09-17,AMPX,STOP,15,UPDATE_ACTION_FROM_CLOSE,"Recap line for AMPX has multiple events; the FINAL exit before re-add was STOP @ $15 (per 'stop was hit'), NOT a CLOSE @ $15.44. The $15.44 is the re-add price. Re-classify to STOP so subsequent ADD @ $15.44 is treated as fresh OPEN."
2025-10-07,IREN,TRIM,60,INSERT_NEW,"'Cost recouped' on 10/7 = 100% gain trim. Price ~$60 per 10/6 'will be official at 60' (the $30 entry × 2 = $60)."
2025-09-05,SATS,OPEN,56,INSERT_NEW,"Per 9/8 message 'We were in at 56 just a few days ago' — entry estimated to 9/5 at $56. SATS was the first commons name explicitly tracked in this channel."
2025-09-08,SATS,TRIM,89.60,INSERT_NEW,"9/8 message 'SATS commons were up nearly 60% on starlink acquisition... Let's harvest some gains'. +60% from $56 entry = $89.60. Recap 9/17 says 'sold after immediate large move' = the full exit happened in this window."
2025-09-17,SATS,CLOSE,89.60,INSERT_NEW,"Recap 9/17 confirms SATS 'sold after immediate large move' — full exit at same ~$89.60 level as the 9/8 harvest signal. Treats SATS as fully closed."
2025-09-12,RGTI,OPEN,19,INSERT_NEW,"Explicit entry message: 'I'm going to add it here at this 19 level so we can keep track with the other commons'. Shifts first_entry_date from 9/17 recap to actual 9/12 entry."
2025-11-10,NB,CLOSE,6.36,UPDATE_ACTION_FROM_OPEN,"'Selling $NB at 6.36 for a loss' classified as OPEN by parser because bare verb 'Selling' (without 'half'/'remaining') didn't match CLOSE regex. This is the 2nd-trade CLOSE (NB was re-opened 10/7 @ $8.83 then sold 11/10 for same -28% loss as the 1st trade)."
2025-09-17,MP,CLOSE,6.36,DELETE_FROM_CLOSE,"Spurious MP CLOSE event generated from NB's recap line. The line '$NB - $8.83 ( closing @ $6.36 - replacing with $MP )' mentioned both tickers; the @ $6.36 was NB's exit but recap parser also assigned it to MP."
2025-09-17,AXTI,TRIM,98.60,UPDATE_ACTION_FROM_CLOSE,"Recap '$AXTI - $44.75 (1/2 out @ 98.60 for 120%)' = TRIM half, not CLOSE. Half position remains open at $44.75 cost basis."
