alert_id,day,fire_hhmm,ticker,winner,regime,open_to_spot_pct,range_pct,lod_touch_min,hod_touch_min,n_new_hods_60m,n_new_lods_60m,reason
1776953745239_SPY_bul,2026-04-23,10:15,SPY,False,RANGE,0.14,0.29,0,0,13,2,"net +0.14%, range 0.29%, recent extreme test (LOD 0m / HOD 0m ago)"
1776967832877_SPY_bul,2026-04-23,14:10,SPY,False,NOISY,-0.22,1.41,17,69,0,17,range 1.41% exceeds noisy threshold 1.2%
1777047534301_QQQ_bul,2026-04-24,12:18,QQQ,False,TREND_UP,0.64,1.03,100,0,6,0,"net +0.64% from open, LOD untouched 100min, 6 new HODs in 60m"
1777055238333_QQQ_bul,2026-04-24,14:27,QQQ,False,NOISY,0.68,1.2,229,0,1,0,range 1.20% exceeds noisy threshold 1.2%
1777055926724_QQQ_bul,2026-04-24,14:38,QQQ,False,NOISY,0.74,1.2,240,0,1,0,range 1.20% exceeds noisy threshold 1.2%
1777300368027_QQQ_bul,2026-04-27,10:32,QQQ,False,MIXED,-0.31,0.47,0,2,0,8,"net -0.31%, range 0.47%, no clean trend or range pattern"
1777387169182_QQQ_bul,2026-04-28,10:39,QQQ,True,MIXED,-0.35,0.76,0,7,5,2,"net -0.35%, range 0.76%, no clean trend or range pattern"
1777391311633_QQQ_bul,2026-04-28,11:48,QQQ,True,MIXED,-0.52,0.87,0,76,0,2,"net -0.52%, range 0.87%, no clean trend or range pattern"
1777472416808_QQQ_bul,2026-04-29,10:20,QQQ,False,RANGE,0.05,0.39,5,0,5,4,"net +0.05%, range 0.39%, recent extreme test (LOD 5m / HOD 0m ago)"
1777486227191_QQQ_bul,2026-04-29,14:10,QQQ,False,MIXED,-0.13,0.69,0,10,0,0,"net -0.13%, range 0.69%, no clean trend or range pattern"
1777643719899_SPY_bul,2026-05-01,09:55,SPY,True,MIXED,0.29,0.42,0,0,11,1,"net +0.29%, range 0.42%, no clean trend or range pattern"
1777643729949_QQQ_bul,2026-05-01,09:55,QQQ,True,MIXED,0.71,0.84,22,0,12,1,"net +0.71%, range 0.84%, no clean trend or range pattern"
1777644759328_QQQ_bul,2026-05-01,10:12,QQQ,False,MIXED,0.93,1.0,39,0,18,1,"net +0.93%, range 1.00%, no clean trend or range pattern"
1777647392696_QQQ_bul,2026-05-01,10:56,QQQ,False,MIXED,0.72,1.02,83,0,8,0,"net +0.72%, range 1.02%, no clean trend or range pattern"
1777649865349_QQQ_bul,2026-05-01,11:37,QQQ,False,MIXED,0.94,1.02,124,0,0,0,"net +0.94%, range 1.02%, no clean trend or range pattern"
1777653786190_SPY_bul,2026-05-01,12:43,SPY,False,MIXED,0.09,0.57,0,19,0,0,"net +0.09%, range 0.57%, no clean trend or range pattern"
1777656043998_SPY_bul,2026-05-01,13:20,SPY,False,MIXED,0.2,0.57,0,0,0,0,"net +0.20%, range 0.57%, no clean trend or range pattern"
1777658032261_QQQ_bul,2026-05-01,13:53,QQQ,False,MIXED,0.91,1.06,260,0,0,0,"net +0.91%, range 1.06%, no clean trend or range pattern"
1777660222461_SPY_bul,2026-05-01,14:30,SPY,False,MIXED,0.09,0.57,0,28,0,0,"net +0.09%, range 0.57%, no clean trend or range pattern"
1777661922320_SPY_bul,2026-05-01,14:58,SPY,True,MIXED,-0.03,0.57,0,56,0,0,"net -0.03%, range 0.57%, no clean trend or range pattern"
1777665949555_SPY_bul,2026-05-01,16:05,SPY,False,MIXED,-0.1,0.61,6,123,0,1,"net -0.10%, range 0.61%, no clean trend or range pattern"
