fire_id,ticker,day,fire_hhmm,direction,tier,opt_eod_pnl,n_trades_total,small_n_trades,small_total_volume,small_cvd,small_buy_vol,small_sell_vol,medium_n_trades,medium_total_volume,medium_cvd,medium_buy_vol,medium_sell_vol,large_n_trades,large_total_volume,large_cvd,large_buy_vol,large_sell_vol
2026-04-14_SPY_10:06_BEARISH,SPY,2026-04-14,10:06,BEARISH,A,-99.20634920634922,2872,2723,138690.0,-5498.0,66596.0,72094.0,139,43875.0,-8543.0,17666.0,26209.0,10,20006.0,8646.0,13806.0,5160.0
2026-04-14_QQQ_10:10_BEARISH,QQQ,2026-04-14,10:10,BEARISH,A,,1567,1459,68044.0,-4938.0,31553.0,36491.0,101,29434.0,4960.0,17197.0,12237.0,7,17601.0,3281.0,9181.0,5900.0
2026-04-16_SPY_09:52_BULLISH,SPY,2026-04-16,09:52,BULLISH,A,-25.0,2027,1819,97903.0,7143.0,52523.0,45380.0,207,61232.0,-16686.0,22273.0,38959.0,1,1427.0,1427.0,1427.0,0.0
2026-04-16_QQQ_09:55_BULLISH,QQQ,2026-04-16,09:55,BULLISH,A,132.967032967033,1776,1699,69340.0,1448.0,35394.0,33946.0,76,23617.0,539.0,12078.0,11539.0,1,1658.0,1658.0,1658.0,0.0
2026-04-20_QQQ_10:12_BULLISH,QQQ,2026-04-20,10:12,BULLISH,B,-94.66666666666669,1195,1112,58319.0,11271.0,34795.0,23524.0,82,19952.0,9912.0,14932.0,5020.0,1,1170.0,1170.0,1170.0,0.0
2026-04-21_SPY_10:53_BEARISH,SPY,2026-04-21,10:53,BEARISH,B,320.4918032786885,1749,1611,67537.0,-10983.0,28277.0,39260.0,130,46727.0,-4277.0,21225.0,25502.0,8,14395.0,3136.0,8084.0,4948.0
2026-04-21_QQQ_10:26_BEARISH,QQQ,2026-04-21,10:26,BEARISH,A,275.83892617449663,1353,1301,60725.0,-1631.0,29547.0,31178.0,52,13062.0,2056.0,7559.0,5503.0,0,0.0,0.0,0.0,0.0
2026-04-22_SPY_10:14_BEARISH,SPY,2026-04-22,10:14,BEARISH,B,-93.19727891156462,1796,1698,67960.0,2826.0,35393.0,32567.0,95,32851.0,-909.0,15721.0,16630.0,3,4141.0,-321.0,1280.0,1601.0
2026-04-22_QQQ_09:57_BULLISH,QQQ,2026-04-22,09:57,BULLISH,B,200.9950248756219,1031,999,43413.0,-1911.0,20751.0,22662.0,32,9387.0,723.0,5055.0,4332.0,0,0.0,0.0,0.0,0.0
2026-04-22_QQQ_10:07_BEARISH,QQQ,2026-04-22,10:07,BEARISH,A,-98.77300613496932,1445,1409,77332.0,-14872.0,31230.0,46102.0,36,10199.0,-203.0,4998.0,5201.0,0,0.0,0.0,0.0,0.0
2026-04-23_SPY_10:10_BULLISH,SPY,2026-04-23,10:10,BULLISH,A,-93.87755102040816,2241,2116,97688.0,-6284.0,45702.0,51986.0,125,39236.0,-4020.0,17608.0,21628.0,0,0.0,0.0,0.0,0.0
2026-04-23_SPY_13:01_BULLISH,SPY,2026-04-23,13:01,BULLISH,B,-96.34146341463416,855,812,34073.0,-6677.0,13638.0,20315.0,43,12684.0,-2424.0,5130.0,7554.0,0,0.0,0.0,0.0,0.0
2026-04-23_QQQ_13:07_BULLISH,QQQ,2026-04-23,13:07,BULLISH,A,,1200,1139,56469.0,23251.0,39860.0,16609.0,61,18504.0,-3492.0,7406.0,10898.0,0,0.0,0.0,0.0,0.0
2026-04-24_SPY_10:07_BEARISH,SPY,2026-04-24,10:07,BEARISH,B,-98.36065573770492,1933,1674,85310.0,19804.0,52557.0,32753.0,258,73032.0,19328.0,46180.0,26852.0,1,1800.0,1800.0,1800.0,0.0
2026-04-24_SPY_10:14_BULLISH,SPY,2026-04-24,10:14,BULLISH,A,140.8536585365854,2376,2011,115758.0,50688.0,83223.0,32535.0,364,95755.0,44121.0,69938.0,25817.0,1,1800.0,1800.0,1800.0,0.0
2026-04-24_QQQ_09:53_BEARISH,QQQ,2026-04-24,09:53,BEARISH,A,-99.53917050691244,1144,1049,56991.0,-1231.0,27880.0,29111.0,93,26632.0,-5816.0,10008.0,15824.0,2,2120.0,-40.0,1040.0,1080.0
2026-04-24_QQQ_10:27_BEARISH,QQQ,2026-04-24,10:27,BEARISH,A,-99.5,1496,1396,71240.0,5678.0,38459.0,32781.0,100,25677.0,-2507.0,11585.0,14092.0,0,0.0,0.0,0.0,0.0
