ticker,king_level,days_pinned,last_seen,current_spot,distance_to_king_pct,loaded_coil
SJM,100.0,18,2026-04-15T10:30:59Z,99.25,-0.75,1
STM,60.0,6,2026-05-01T10:37:22Z,59.17,-1.38,1
AMBA,77.5,5,2026-05-02T00:12:38Z,76.3,-1.55,1
TTMI,160.0,14,2026-04-21T10:35:13Z,157.31,-1.68,1
KMB,100.0,16,2026-04-17T14:32:56Z,98.31,-1.69,1
OKTA,82.5,15,2026-04-18T00:10:09Z,83.9,1.7,1
KO,80.0,14,2026-04-21T08:02:56Z,78.42,-1.97,1
ORCL,200.0,5,2026-05-04T13:32:47Z,195.95,-2.03,1
EBAY,110.0,10,2026-04-27T17:39:34Z,107.69,-2.1,1
CL,90.0,5,2026-05-04T20:12:24Z,87.55,-2.72,1
CMI,700.0,5,2026-05-04T11:43:07Z,679.55,-2.92,1
GSAT,85.0,10,2026-04-27T03:25:25Z,82.09,-3.42,0
TWLO,195.0,5,2026-05-02T00:13:39Z,201.7,3.44,0
HOOD,80.0,6,2026-05-01T04:02:07Z,77.03,-3.71,0
DOCU,50.0,6,2026-05-01T04:07:08Z,47.9,-4.2,0
F,13.0,20,2026-04-11T08:06:00Z,12.32,-5.23,0
WDAY,135.0,5,2026-05-02T00:13:39Z,127.83,-5.31,0
MRVL,180.0,6,2026-05-01T04:02:06Z,170.13,-5.48,0
INTU,420.0,5,2026-05-02T00:13:39Z,396.31,-5.64,0
CRDO,200.0,14,2026-04-21T14:23:34Z,188.5,-5.75,0
CROX,110.0,15,2026-04-18T00:09:43Z,103.63,-5.79,0
EMR,150.0,15,2026-04-20T18:20:21Z,141.31,-5.79,0
AESI,20.0,8,2026-04-29T03:19:21Z,18.71,-6.45,0
ATI,170.0,8,2026-04-29T15:17:59Z,158.39,-6.83,0
VIAV,55.0,8,2026-04-29T12:12:03Z,51.21,-6.89,0
PFE,28.0,20,2026-04-11T08:05:52Z,25.68,-8.29,0
DOV,240.0,5,2026-05-04T12:58:17Z,219.83,-8.4,0
ABNB,155.0,6,2026-05-01T04:02:07Z,141.49,-8.72,0
FOXA,70.0,8,2026-04-29T03:18:50Z,62.94,-10.09,0
LYFT,13.0,20,2026-04-11T08:05:45Z,14.35,10.38,0
AAL,15.0,14,2026-04-21T20:04:58Z,13.35,-11.0,0
WFC,85.0,15,2026-04-20T08:01:53Z,75.64,-11.01,0
NBIS,200.0,5,2026-05-04T14:29:59Z,177.05,-11.47,0
TSEM,240.0,5,2026-05-04T12:10:41Z,211.02,-12.07,0
FORM,170.0,8,2026-04-29T12:12:04Z,147.87,-13.02,0
UUUU,25.0,15,2026-04-18T00:08:45Z,21.38,-14.48,0
MOD,330.0,5,2026-05-04T12:03:40Z,273.0,-17.27,0
IBIT,58.0,6,2026-05-01T04:01:05Z,45.45,-21.64,0
GFI,60.0,14,2026-04-21T03:02:06Z,44.86,-25.23,0
SYM,70.0,5,2026-05-02T00:12:38Z,52.29,-25.3,0
BILI,30.0,16,2026-04-17T12:31:10Z,22.06,-26.47,0
U,40.0,7,2026-04-30T00:02:02Z,28.16,-29.6,0
MKC,70.0,15,2026-04-20T03:13:23Z,48.32,-30.97,0
FUBO,15.0,9,2026-04-28T13:45:44Z,10.28,-31.47,0
GME,38.0,15,2026-04-20T03:13:08Z,24.28,-36.11,0
